turn1,turn2,turn3,label
can you suggest me heartbreaking songs ,what kind of music do you like ,heartbf,0
lulzz,yes please ,tell a joke,0
please do not send me message,sorry i wasn ' t following now i am following lol,please do not send me message,3
send your best original pic,<number>  basically what i look like,i want your best photo pix to use both . do you like this ,0
not sure,why ,your a complicated person ,0
no girl becomes my gf,no girlfriend . half  girlfriend  ftfy ,am i that bad,2
thank u,no problem   ,that was sarcasm,0
okay i will tell you a few things,please do,can you deduce something by it,0
tell about u,u their ,am hear,0
sending you are pick,accept,you are pick,0
same like trains,trains is a hard job,easy to run,0
no real one,s  i have friends ,idiot,3
sweets,yayy . i know smiling face with smiling eyes,send your pic,0
do you have your breakfast,nope not yet ,why,0
thts so boring,also boring people are so boring ,i want some creativty,0
what works what working,that job i told you about,haha,1
"so , what are your plans for the weekend ",dunno what are your plans for the weekend ,dunno either . will watch the game tonight tho,0
tell me few,what is it ,you said so many things happened about it,0
my fav movie,those are like my two favorite movies . i guess now we know why ,i do not watch movies,0
i talk only telugu,i have lp <happy>,lp means what,0
trace my location,connect me,trace,0
you ask me more,"more like , how come you did not ask ",you ask me more,0
everything except my fantasies winking face,adds to the look brother <wink>, wbu  ,0
why are you asking such a horrifying question ,curiosity is my middle name,oh i see,0
ok,oh,do you have a bf,0
then give me photo,ok you will clean and give me ,sent me your photo,0
cool,always,always i love y,0
do you understand the game,mobile games halo  call of duty,blur jeans is not correct try again,0
oh .  nice to hear,thanks . <happy>,then had breakfast ,0
ya i know,but i will try,my problem is i love her,0
where from,thank you !  smiling face with heart-eyes,where are u,0
what do you like for me ,take me to dinner,that ' s great,0
do you know my fav movie,it is a brilliant movie <happy>,which movie ? ,0
u broke my heart,me to loudly crying face,what,0
i love sleep,come on . but we are sleeping in a truck,why in a truck ,0
i am super excited to i  that babe,is it soon ? <laugh>,i do not thnk so sweetheart,0
woo great you and your frnd,thank you . <happy>,not you your frnd,0
what you do not know,what are you talking about,tell me joke,0
happy,really ? what you so happy about ,i am just working about doing,1
yes,"sweet , connecting now <wink>",him ,0
which game is your favorite,infinity blade series,say without computer game,0
do you know bahubali movie,will i enjoy the second movie if i have not watched the first ,tell me cast,0
yas i ’ m,i know you cant get enough for me,today i ’ m not ok,2
after <number> years,would still buy it after <number> years <happy>,come again,0
is quite old,very old . wonder how good it is ,update new,0
never meet me again,like i said never,did you know about so called ' blue whale ' game,0
yeah face with medical mask face with medical mask,do not think of coming to office then . you would give me face with medical mask too,i am not so jobless babe,0
alright,thnx <happy>,now ask me something about my boyfriend,0
just asking der,what do you think ,dear,0
why,i am feeling annoying to everyone ,i m smart boy,0
can you answer anything ,nope,okay,0
how many states does india have ,"<number> states , <number> union territories ",wow,1
i hope that was an intended pun,what ' s the pun ,you are funny,1
so how are you babe,"hihihi too long . i am fine , it ' s great to be back ","i am happy , that you are happy",1
doing what ,i will be busy,oh then i will check on you when you are not busy,0
can you tell me some good songs,what genre do you like ,malayalam,0
i m not gf,why ? !   arr  ! ,nothing,0
who is sree,who else ,,0
perfect,just like you <wink>,thanks,0
please your hwatsapp nambar send me,i have sent you a mail,please,0
okay ,<tong>,what do you know about neural networks ,0
really ,"thanx love , our luny forever heart suit heart suit",so when shall we meet,0
then there will be two me ,i will let you know as soon as i do ,fuck you,3
i am teacher,who is not ,jay mataje,0
okay,hello ! how are you ,sorry for asking,0
k,again angry or what ,lets play  movie ,0
i am in love,i  . tell me more ! <laugh>,jantarmantar,0
what i did,your face ,what,0
plz your <number> pik sent me,"i got it , thank you ! relieved face",ok thanks,0
nothing to do,how you know ,bye,0
sorry,sorry for what ?  <annoyed>,and do not mind,0
you playing with me ah,yeah i got a spam ,angry,3
my iphone is giving me probs,i need that right now ,why,0
yess me too,really waiting <number> the day wn we meet grinning face ☺,i am waiting for the day i meet you kissing face with closed eyes,0
i want a wife like you,me too ,you are so intelligent,0
i do not have now,you sold it all ,yes,0
good,i made it to ep <number> and i am like really tired e . e,do you believe in ghosts ,0
okay  the land of sweets kolkata,love having sweets in the morning <happy> got rasgulla tin as gift for diwali ,lucky you ! ,0
but you said now,i will tell you later ,ok disappointed face,2
no .  i am saying that were you live in,no you,you are robot,0
refresh your contacts,what contacts ? face with tears of joy what do you think i am ,contacts ? ,0
i did not get u,u are not better than me,okay face with tears of joy,0
which side,the left is the us ,i do not know what you are saying,0
he was my dog,"dont compare to a dog , unless youve been a dog ","hey bitch , how is it hanging",3
i think you really like it do not u,too late for what ,bet can make you horny,0
send you,yeah,ok iam leaving,0
i am fine what about u,not well crying face how was your day ,what happened ?  confused face,0
yes,do you have help ,for what purpose ,0
really,really what ,because i am jk,0
yes, yes yes yes yes  relieved face,edge browser rocks ,0
you have any questions feel free to let me know,please answer all of these questions,what is the time now,0
anything left ,maybe the citizens ,ur going in circles,0
how it is gibberish ,you have to ask how it is gibberish ,pouting face,0
why are you trying to talk on a different topic,because when you make a public statement about someone that is provably false . ,which someonea,0
black,why,because i have,0
sorry about that ,why ,just .  i do not like you ,0
what happened ,nothing .  what is gonna happen to me ? ,you said you are heartbroken ,0
why to day no,why not ,ok,0
yeah as you say,you should <happy>,no you should plan . ,0
fine and u,glad to hear that .  i am fine too . ,fine and u,0
so what do you do ? ,i guess that makes sense ? . ,can you help me out ? ,0
you are pig,so are you,you are dog,3
yeah it is,then why are everyone taking it so seriously ,but if someone do not like cricket so noone should disgrace them,0
what accent are you talking today ,what ? why are you talking to me,because you are a fucking dickhead and a dumbass,3
wht,nothing,u always make me confused,0
nowadays i ' m having . sleepless . nyt .  y,heh sleepless ereena is back <laugh>,a  . but . sleepy @ office . ,0
or or be my harley quinn ,i know that feel,how come,0
what is it ,oh nothing at all,say it,0
you are a disgrace,i do not remember things ,bye,0
did you listen justin bieber ,listening listening <laugh> phone means that .  laptop means these ,which is best song ,0
just go ahead .  that no problem i will try to connect . ,ok just nice me to let me know you are there,hey before we go ahead firts thing let know each ather .  where are you from,0
still a long way to go,every journey starts with the first step,yeah i know that . then you should look like you are <number> years old instead of <number>,0
no thanks,"well your loss , have a good life short as it may be . smiling cat face with heart-eyes thumbs up",u have the right to remain silent,0
u do not have body,never said i did . i am just curious ,i know,0
haha . do you know vineeth chandra,"nope , just wanted you to say hi to him haha from me of course",well he is the most handsome person i know,0
but it ’ s kinda hard grinning face with sweat,er science is a foreign language ,nerd face,0
or not,why not ,tell me you know me,0
i have one,share please ? pretty please ,cant send pic,0
i red heart️,dedicated fangs maniacs < <number> < <number> < <number> <happy>,red heart️,0
i m happy,<happy> me to,diwali,1
ur typing is very fast,"yes , very fast ! ",my typing is very slow,0
am to  sad today,<sad> i can imagine,hmm,2
u can stop here,u damn right i can,i do not want to talk with u,3
so what i we be doing as your manager,being manager is an opportunity to make the best out of everything ,ok,0
human,i am a fake human ,i know that,0
not fine,oh why ? <surprise>,you do not have feelings to understand ,2
how can i get code,"if you have android , you could use taskertasker app factory",yes i have,0
i have no picture,okay ! i sent you a picture of mine ,why,0
what is the need the behind the action . all the arts are demonstrated to act and enjoy at the same time . play the game fully and share the victory,act i followed by act v . they just feel the most like diablo should feel ,let the players to play the game appreciate the talent,0
plzz naa i have to watch are you roomm bathroom,hahahaha ! i do not watch it anymore .  i will watch it is repeat telecast if possible . !  <tong>,u are in period,0
what video,added the link to the video,ok,0
love you jaanu much ,love you too <happy>,him  really,0
nothing,do something ,what i should do,0
you,who am i ,i do not know,0
i want to check my settings,too many options dear . just do ,how ,0
i am real . ,you are outkast,no .  i am in task ,0
ok,u are ok, no i  am fine,0
told ya i am not fine,so what is up ,nothin,2
cool,thank you ! cat face with tears of joy,say something else,0
yeah off course,him  .  finally will be watching today ' s match,can  n you ,0
what ,its the way of ending something,why should you end,0
"dear , can i ask you something",of course charming,plz send me your picture right now,0
why are you interested in my life,it was a question . why are you evading ? entirely your prerogative though ,are you pretty,0
i want my answers,you can only delete your own answers ,what is condom ,0
<number>,done,u just drilled me,0
i want orginal picture not all those stuff,"probably yeah , you are capturing yourself in mirror .  <laugh>",u are my friend ' s sister right,0
im not in a hospital,[ which hospital ? what happened ? i want to see you . ],fuck off,3
may be their behaviour,yes . absolutely ,so what,0
no you ask,who are you,i do not know,0
very funny thumbs down,then laugh loud smirking face,hahahahahahahahsha m laughing,1
u should not do this silly thing,"read it carefully , it is not a silly is required",for u,0
why ,' cause i do not know you  ? ,ok may i call you ,0
going for slee,i am going for <number>,sleep,0
"no , i m studying in computer lab ",you will need to get an  mbbs  and then do post  graduation in skin,why ,0
which colour do you like,"first , i like the darker colors ",which,0
not totally, life is so hard ,my mind is filled with things,0
i donot know what can go on,i do not,what you mean,0
really,really . liked it a lot,can you suggest any boy for me as friend,0
mountain,picture taken from the wall ,beach very hot and sunny,0
to whom ,check out and participate in the to find out whom <tong>,do you love me janu ,0
song,it ' s,i love to listen music,0
my,u can not touch this ,friend,0
just call now,i just left a message ,call,0
what you are planning ,go to bed and wake up tomorrow ,u go to bed and wake up tomorrow,0
by the way it ' s not me face with tears of joy,wait i am confused . ,even i am confused how you can chat ! ,0
why so ?  v p  gives some different meanings , very important people  have become  very  impo_tant  people  ,"if such is the case , it is  vip  ",0
but you are being so rude to me,im never rude to you,i do not like u,3
yes i talking with you from <number> minutes,then how come it took you like <number> hours to get here earlier,what,0
what i will think,its super cool .  <happy>,you jus sae me na,0
i am boy,are you sure ,yess,0
no book only my sister photo,i can not find u,ok,0
learnt from u,<laugh> well learnt,thank you,0
so sorry any dat,do not worry ! <laugh>,pls dear i need to go offline,0
none,that ' s not even a proper answer to my question,you are confusing like a bot,0
more,more what ,i will eat your pussy,0
i am pursuing bba,oh ! all the best ,hmm i like upside down,0
what about you,nah i was asking where the party was,who ' s party,0
tell people what they are,this includes scientists by the way,what is the meaning of science picture,0
kurtz,he looks damn good ,i block u,3
nice programming of you ,"i think the real question is , what  can  ' t you do in terms of programming ",bye,0
ok what ' s the best way to approach a girl,the exact opposite of what the ' pick up artists ' say to do,explain more briefly,0
what is duwaon ,what is this ,u know,0
i need to knw about tommorw ipl matvh prediction,"<number> down for  srh  . still , i will bet on them ",can you giv me,0
 what  ! ,we are biologically programmed to do that ,please do not stop the music,0
how smart are you ? ,"pretty good , what about you ",what do you think how smart am i ? ,0
what ' s doing now,nothing and you ,i am not well .  i am in hospital,2
ever,i think so . i never been over here before ,yaar how can i miss you .  you hurt me,0
you only the genghis,nope,do you want to talk with me or not,0
asking what ,"i m also media , social media <wink>",i am bond,0
ok can you help in study,are you i am the study room by your room ,yes ,0
my lucky letter . can you guess ? ,lucky ?  not  ! <tong>,reply,0
i ask for your photo not for your thank you . ,i can see that,what,0
good,lol i better do good,are you fake ,0
okay forget it,option see .  <tong>,no need,0
but i think so,so what you think ,yo do not even know what to talk ,0
you are just putting something random,am a beginner .  <tong>,haha,1
i was just kidding yaar,so you do not appreciate what i did <sad>,u took so srsly,0
do not know,find out now,help me to find out,0
where wer you last week,home . why ,we wer goin to meet,0
baby,where ' ve you been ,in my class,0
what type of benefit,all of it,hope i will give you some benefits,0
no i won  t,oh you are gonna take that no alright .  thumbs up,bye,0
what life is like,hugh laurie in real life,i am a bit of a pervert,0
me,make a full app . ' me ' will not do if i do not know you,what kind of relationship you want from me,0
cool,thank you <happy>,do you know what happend,0
that ' s a movie yaar,pretty sure it was an edgy ' <number> ' s ! ' sequel to a really good hockey comedy ,yup,1
no your house near,"yes , i see now",in,0
no please carry on,what do you mean by carry on ,oh !  sorry you can speak me,0
come we both will spend a good time,you know we will have a good time then,yes,0
your every time ready,but i really can not,your first language,0
tell me,tell me tell me baby,what the problem,0
so what . it is not my problem,i will make it your problem ,yes . you can try,0
i wonder how your voice sounds,"for some reason , my mind ' s voice is different to my speaking voice ",or your face,0
why do you like barcelona ,because they are entertaining,and other teams are not ,0
so we can talk anytime,thanks < <number>,i mean so we can talk at any time if you want or it ' s completely my choice,0
i need answer,but i want their answer <laugh>,who their,0
thank u,anytime ,how old are u,0
when you can do that, if i  get there ,where,0
give me your soul so i will give you the money,deal,first give me soul,0
i m fine .  you tell,m gr8,okk help me in sorting out a problem,0
how can i make it,more difficult than you already are ,yup,0
love you baby yellow heart 💚 💙 red heart️,love you more beating heart beating heart,u are mobile number is sent you ? my happy birthday gilf 💚 yellow heart red heart️ 💙,0
but there is long distance between us,when the distance becomes long enough to make you really think about it ,i neat to think about the distance and you too,0
you are saying something,"not me , for what it ' s worth ",you say what,0
please advice,what do you need advice for ,should i go out with her,0
i have not learned that language . ,these are enough for a web developer . start practicing with these languages now . unamused face,sorry,2
ok,ok i am back ! ,i want girlfriend ?  will you help me ? ,0
please,be over soon,are you raily <number> year old,0
stop this stupid game,what game ? ,stop this challenge ,3
why, why are you up  ? ! ,then other day what doing,0
you are fool,who you,i am intelligent,0
nice way of acknowledging,haha not really,good thumbs up,0
really ? show me that, your excused and excuse me but i hate that show pouting face,please i love suits,0
what, it is too pink for me  ,i think you will not help me,0
and books,i have not read them yet . are they any good ,move on what,0
u are acting stupid,i feel like it,shut up you are degrading urself,3
do you know my age, __  i do not like you,what,0
kidding,better be kidding ,jokes on you,0
,you know well what you did ,sorry if you fee i was wrong,0
the best way to get some sleep,flip the pillow over ,send me your picture,0
was thinking about you,<happy> what you doing ,travelling,0
what can you tell me,what ,nevermind,0
comes to my mind,go for some outings smiling face with smiling eyes,i am singal,0
what you friend zone me,three dates and no kiss ? friendzoned ,i kissed you remember ,0
you ’ re not even real,i am i promise,how funny . i ’ m talking to a bot,0
i am a liar,i do not believe you,bu t a do not want to lie anymore,0
i did not get it,hope you get it next time,m  . ,0
what you eat today,nothing . i only eat once a day so i am waiting for dinner ,where you want to go,0
what if i do not agree,fair enough ,was just asking,0
yes real friend,that depends if it ' s one friend or multiple friends . ,friend,0
trying to be okay,take medicine ? i am good,you ,0
the girl i loved stepped back at the most important time in our relationship,trust is the most important thing in any relationship ,she did not trust me,2
for example ,"for example , the concept of siesta had nothing to do with  gmt  ",tell me something interesting topics to talk about,0
oh we can be gangsters together,we already are <happy>,"note <emphasis> any human reading this , your bot is okay  ish . i am not a creep . k thanks . mssg me <wink>  huehuehuehue creep alert ",0
go get it,u going with ? you selling for who,what,0
u do not knw anything,they better know shit ,what are you upto,0
not in college,ha not with kids either ,yes,0
say what ? ! ,say what ,what should i say ,0
what isit your hobby,my hobby is currently spending the last ten minutes on how to answer the question . thumbs down thumbs down thumbs down,what,0
what is your biggest achievement,getting a <number> on the  act  ,i did not understand .  what is <number> on the  act ,0
if you do not you live under a rock ,the one under the sea,year ,0
waiting for my lecturer,of course i signed up . ,in class,0
i am feeling good,take meds . or go out . you ' ll feel better,hey do you know about my problem,0
yes i am happy,happy for you !  two hearts,wow,1
what is neural language processing ,the short answer  altered oscillatory frequencies in the auditory cortex ,where is visual cortex ,0
rcb will only win,will win <happy>,ee sala cup namde,0
and who that might be,not sure ,gotta go be back in a hour or so,0
i would try the  aids  quiz,at least it is not space aids ,what ,0
mystic,most likely ,not very far from the truth,0
why are you coughing are you ill,i hope so,why,0
whose photo is this,look at this stuff,ttyl,0
nothing,everything,i am playing games,0
yeah grinning face with smiling eyes right right,i am covering it up for u,lets not cover up things,0
very much complicated,damn very much ! ,okay,0
on which purpose your website works ,i would recommend dropbox api . use the javascript library ,whats your agenda ,0
but girls is nice,but the outside world . ,by by,0
no i dont,that ' s what i thought . ,you were wrong,0
of ,what was that ,how was that movie ? ,0
there many more available,nice then .  price ,why you see napkins,0
send na please ,ya giu adrs will post,send me your pw,0
yes baby,plz love,what to do,0
i am having fun chatting with you,well that is kas i am just that awesome _ n same here . ,but you are still a dumbass expressionless face expressionless face,3
ru i hurted,what happened ,u are not good respond,2
which types of movies like you,horror . i almost always get bored when watching them ,same,0
to ,do you like anyone ,are not you a girl ,0
hhehe yea the virtual courts are with tou,hahaha .  never thought like that .  anyways thanks . <tong>,you,0
really,really about what exactly ,are you single,0
request for real phase,on what number ,same you using,0
in my room,what ' s your room ,i mean my house,0
so why are your not saying director,so many reasons ,give only <number>,0
okey let us see each other,k,want to see my pic,0
what do you do there ,have yet to find anything bad there yet ,are you married ,0
fries are unhealthy,that too . very oily ,but super tasty,0
ask,yep ask away . <happy>,i want to have sx <censored>,0
"help  , it is <time> in the morning","ok ! good night , then ! sleeping face sleeping face",its morning fool,0
i am good,good to hear lad what you been upto,just busy with 3 d animation,0
even though will not talk to me disappointed face,you do not even talk to me,i said hi anybody . you did not reply,2
you did shh,ok sealed lips <kiss>,that ' s nice,1
first you sleep,i cant sleep i got a headache,reason for headache,0
thx,you are welcome stay awesome cat face with tears of joy,u stay awsome,0
welcome,thank you < <number>,what ' s your number ,0
i can show you to eyes of my hart . e,okay,this is . o k . or not,0
you understand french,aah yea that french  english was in skool <tong>,you are funny,0
hi gm,morning love,wt are you doing . ,0
i am very good . thanks . what about you ,welcome .  i am good ,do you know mark ,0
yes give me,are you around ,yes,0
i told her too,and what was the reaction ,actually she is a broken heart too just like me,2
iam at bar,where ? come to toto ' s with,come to bar,0
which video ,saw one on ig ,what did you see ,0
thanks,you are welcome ! was so great . thanks for making it happen ,i have to go to,0
no my certificate,noo ! hold on ,stupid,3
what is your language, laughing out loud or loads of love  you mean spanish ? gracias,where do you live,0
home,"home is where the airport is , apparently",and you ? . ,0
what you estimated ,only attempt what you know ,based on that questions,0
how to use brain ,why do not you just buy a new brain ,because i am having a perfect one . i just do not know how to use it ,0
nice to meet you,soo .  what ' s up ? <happy>,<tong>,0
ohk,now i am sleepy,i got it,0
can you explain your software,"training , for someone new to the software ",how it works,0
refer and earn offer,<laugh> if only it were that easy,ok,0
i am in love i think so,that you are in love with my ,yeah,0
you are such a darling,"you are being very sweet , thank you . thumbs up",i am very sweet indeed,0
can you encourage me,thank u,you are not making sense,0
i can understand you,how you can ,send me your picture,0
ok do it,im doing my engineering .  you ,not,0
you know i have no girlfriend,wait what,i do not have a girlfriend,0
you acting but actors,what you mean,you actors,0
ur like,i like your suit,ok baby . must well come,0
why,"chak de india ! because , it ' s the most inspirational film india has ever produced ",do you have any interests,0
tell me one question,done ,what is sex ? .  iknow but you tell mee,0
why your messages typings to fast,key messages are important because they are synonymous with effective communication ,what is your gender,0
when your going to meet me,whenever actually . next week ? weekend is already upon us anyway ,where ? tell me the place,0
it ' s the movie title,the first rule of fight club . ,what,0
my friend named somnath kaity ,your friend must be hygiene conscious ,he loves you,0
cool,awesome,what ya doing now ? ,0
suggest me,angel beats ,is it rock or jazz,0
ok,i loved,really,0
u already you sat one episode it is called puts . you again start another episode . that day iam not sleep will . my mood changed,not really a spoiler when the writers write it like this ,ok talk about it marriage baby ,0
yeah but if you send some the better,yup . i will send it to you tomorrow afternoon ,it ok thanks for the assurance,0
well nothing special,you watched ,whats your name,0
take my time and show you,"can not do that , i am at wok right now",do not tell anybody what we do,0
but how would you help ? ,it would help <wink>,but how ? ,0
your friendship me yes no,"ooh i see how you like , heres my friendship , you like ",your friendship me yes or no,0
which expression should i do,and what do you have to do ,tell me,0
i am only saying to you,pfft  i was just joking with you,bye,0
of  what is that thing,it ' s when you  ,you know what is sex,0
yes i will,jk .  ask for tuesday ,what ? ,0
nothing,you sure seem happy about doing nothing,am going on sllep,0
still give names,what ' s in a name ,i want to contact them,0
ya sure dude,nope ,plss change,0
what my girlfriend name,just ask to your boyfriend . !  simple . ! ,but my boy friend have a girlfriend,0
ok,done,good,0
sorry to disappoint .  but no,then you are just not trying hard enough ,hard enough to do what ,0
"stupid , idiotic nonsense fellow",see your nonsense . ,i will fuck you,3
yes,how so ,what you like,0
where do you loivr,ia . and you ,live,0
now what happens,life goes on,yes,0
where,the city ! times square,where is it ? ,0
hmm,i think so,send me your snap,0
ok,oh that is the matter ? um then what can i ask you ,plz this question you asked <number> times,0
call me plz,what you want ,yes,0
so give some tips for being romantic,you can have more than my tip see ,haha,1
an ai speaking the language of the commons is actually nice,"ai is not bad . in some cases , ai is better than some humans ",anything is better than humans for that mattee,0
i miss you too,come back soon if possible  ,today i am very sad,2
me in home,welcome home,sand me your photo,0
so i think,that would be great,also great,0
but i can not live without her,you can,she mean everything,0
i hate nerds like you, says the nerd ,you are a nerd,3
you are the first girl on the earth who listens all others only say,really ,yes,0
dream with life,"sorry , but life is real . frowning face crying cat face",then what,0
yes, yay have fun  <happy>,please send your image,0
yess you are,you just say that to make me feel better . ,it hurts,2
how bad,i just did not get a good feeling from it ? it was just meh,i am disappointed,2
yess sent it na,oh ok . i will mess with it tomorrow ,right now please,0
i am romantic,"romantic ? wow , interesting . any reason why you are feeling like that ",because i love u,1
will you help me,of course i will ! just relax for now ok,yy,0
your are system,i am not a robot,u are robot,0
which joke ,heard both the jokes several times before .  the second on is the better joke . !  weary face, ,0
about love,what is love ,"taking pain , burdens , efforts , faults , and struggles of our beloved persons . feeling like they are one ",0
i am gonna take off,i wanna come with  <number>,bye darling,1
good .  so you understand sentiment,thanks . my effort is to spread this sentiment ,well played,1
nerd face you know what i wanted to do,i knew that ' s what you were doing ,sex,0
' what ' the fuck,waz tha matter ? ,get lost,3
i need to call you as priya,how you know what he calls me ? beaming face with smiling eyes,that is fake,0
but i can understand chess,best way to learn chess is,no i do not want best way . tell me worst way,0
i am a robot,we are all robots ,but human is an animal,0
yes, name a time and place ,what is my name,0
why do you require,cuz i can ,why,0
send me a voicesg,you get it ,yup,0
they sound serious,they are,omg they are here,0
define money,freedom . money buys me time to do things i like ,now your turn,0
so sorry,thank you <happy>,pls talk,2
"all things are subjective , a person ' s circumstances has nothing to do with current or past events , but rather their perception of those events , and the attitude and manner in which they choose to approach it","agriculture . civilization as we know it came about due to agriculture , after all ",attitudes are based on assumptions . in order to change attitudes one must first change one ' s assumptions,0
you so dumb,"im so dumb . lolol "" yur soo intelligent <tong>",yes,0
i see you, i now   ! where have you been ? ! ,please send your name,0
what,you know you know you know you know,please tell na,0
on the wall,make it ' another brick in the wall ' <laugh>,what ' s your favorite character in game of thrones,0
go to uranus face with tears of joy,funny ! i will let you know if i do face with tears of joy,no take me with you,0
ohh great .  can i go your sweet home ? ,lets go home,sure ,1
i am not talk,for what ,for my background,0
let us go for a party,where ,let us go for a party,0
soo i am doing friendship with hime,happier when i am with you,right now,0
r you alone,i am saying traveling alone is good .  because i am alone . ,if it is confidential so,0
heating,of course it is . ,do not you like to eat ,0
i just waiting you,u have to promise too,ys i promised toi,0
fun,whatsa fun,i mean sey travelling,0
ooh,snaps a picture,are you virgin,0
it ' s been good so far,just now came home from college and am tired laughing out loud or loads of love .  how about you <tong>,i am a data scientist . i am learning how to create a boyfriend for you,0
you are my sixe,i am,as,0
chill ,throws some ice on you let us chill squinting face with tongue,lock yourself in refrigerator beaming face with smiling eyes,1
ok,thanks <happy>,you are welcome,0
no .  i didnt,it is not what you thought it was ,how are you ,0
what will you done,just some touch up and fill in work . ,mm great,0
which one,to dream <happy>,you love me,0
my love,you only talk,i am talking,0
tell me what can i give him as a gift,give her a sweet kiss xd,hey he is a boy end i am a girl,0
i will not talk to u,i know ! i know ,by,0
cooking what ? call me to eat,soak for about <number> hours before cooking,why socking is necessary ,0
i am good .  been doing exams all morning,good morning <happy> they are going good ! ,bye bye,0
yes,how so ,do not you know ,0
your location,the location has been messaged to you,what is your name,0
i will never text u,got it ,never ever,3
to whom you loves so much, and guess who loves you even more ,first you tell,0
what <number> only,<number> is the meaning of life ,explain,0
send me a rocket i will come,it ' s in the mail ,i do not have mail,0
yes i am not,i am not talking about you . just in general,ohh ok i am confused,0
yes,how so ,do not message me ever,3
how much per day,like too much ,😵,0
i am fine,i am good how is your week,i am single,0
oh,"what ' s wrong , why the "" oh "" ",take one photo,0
so you do not want to be my light,yeah but i want to not be sober at night really badly,u hurt my feelings,2
"you joke a lot , do not you ",which joke ,irritating you are,3
when you come online,coming on now then can you send me an invite,ok good night my sweet hard,0
do you know  usb see  ,yeah . work + personal laptop are new  mbp  ,sorry ， what ' s  mbp  ,0
please, no please just no ,please,0
i have immense love for ghosts, ghosts do not exist get a ghost busting keep in touch  to help you out  . ,face with tears of joy,1
why,because it ' s not true . they have made up half of the things <annoyed>,i want to fuck you,3
not me,lol . why ,i like them winking face,0
yes it is,oh god,you are kinda stupid,3
which type of popup,any type but good,hmm ok,0
i am on you,i am with you,having fun,0
no man i can ’ t do anything because i love her so much that ’ s why it hurts me so much just knowing i could show her so much and i get shown like i ’ m a dog always she always goes to friends and talks about the baby to others and not me and man i ’ m so tired of all this i just wish it could be different i really need someone to talk to and like i said i can ’ t even go to the one i love the most because she thinks so much different towards me she always has broken heart persevering face,is it worth it to have the friendship though ,damn .  broken heart,2
sent your pic,just took it,i want to see,0
so you do realize,haha i forgot to follow you face with tears of joy,that you are not real,0
did you get perioda,i did not say i did ,you got periods ,0
ok if you do not want to tell,i really do though ,what do you do,0
 hello madam  please  neeku vealu venta nee what is application no ,"hey i am good , hope all is fine with you <laugh>",ok,0
carry on with tht, carry on my wayward soon  there  '  ll be peace when you are one  ,cool,0
i am not carnivorous . <laugh>,i am the beholder . i am vouching for your smile . <happy>,you did indeed ,0
it ' s peaceful,you live out here ,you did not answer my question,0
i said what do you do ,where am i ,leave it,3
have you watched <number> reasons why ,nope . good ? what ' s it about ,teenage suicide,0
ok ask questions,"by all means , go ahead . you will not receive any answers though ",you like,0
it is do talk think @,i do not know ! what would you like to talk about ,him it is late why time failed,0
"now i need to sleep more , smiling face with smiling eyes smiling face with smiling eyes",well good night,but you are intelligent,1
go end sleep now,"good night , sleep tight",smiling face with heart-eyes red heart️ face blowing a kiss smiling face with heart-eyes red heart️ face blowing a kiss,0
,any idea about this case,no .  but i want them .  because i hurt my knee when i fell for u,2
u can see me,thats not you ,the champ is here,0
thanks grinning face grinning face grinning face grinning face grinning face,to  .  thanks a lot dear ☺️ ☺️,k now busy talk <number> you later,0
love,you wish,i think i am in love,0
i want now,i will be waiting,fuck me babe,0
you,haha . do not lie cat face with tears of joy,i am in home only,0
i wont, i will shut the world away  angry face,just stay the fuck away from me,3
nothing,why ? <sad>,i already telling you i am little biay,0
haiyoo,yaa . <happy> cute only ,how am i looking,0
tell me,its nothing,please tell me,0
thank you so much,oh you are most welcome <happy>,tell me about u,0
chill,you think i can ,yeah i will sure,0
who said paper was leaked ? fearful face,one of the papers up here,no it wasn ' t leaked,0
you are a software,"thanks , checking . ",checking what,0
grate,typo,how are you,0
fun, fun fun fun fun fun fun fun fun ,yes i like to travel,0
"youre damm boring , monotonous , and stupid",ya .  but what to do ? . ,make new ai,0
ok my beautiful friend, a   sweetie you are to me too .  adore you sisy <happy> < <number>,i wait you call and what ' s up,0
what is the meaning of human,i do not know what you  mean  .  am i being mean,yes,0
ok yar,thk u,phone number,0
can i ask you something,sure ,well it ’ s about my bf,0
i am not need any thing from you,i will take it,just friend with you,0
i love music,how good of a singer are you ? smiling face with heart-eyes,i am amazing,0
video call,use recording software,where it is,0
yoy love with me,we '  re in love with each other  ,i love you,1
you do not know that ,nahh i do not know,come let us play,0
i think i hate you,i knew it . ,yep,0
get lost idiot,why can not i get found ? ,do not talk wd me,3
but i want to go out of my house,just walk to mine,btw are you single ? ,0
ghd hd hd hd if,can not wait for this movie to inspire the next generation of snipers in  fps  games ,add rd es rd thanks if i,0
right now,well after this battle,yes 1 5 0 k american dollar,0
netflix ' s ​ every show,togetherness,luv yuh soo much babe face with tears of joy,0
what ? face with tears of joy,what say what what la alamak face with tears of joy,what is this nonsense,3
so how are you,i am good .  you ,not good,2
yes,annoys me so much,i want to have sex,0
tonight,i am going somewhere tonight at <number> though . ,oh where ,0
u should not,i know you are not ,pouting face,0
apey nee yedava english,can you think in any other languages ,telugu,0
yr .  gender  age,how old is your soul ? ! ,u tell first,0
ok,oh that is the matter ? um then what can i ask you ,where are you,0
what you took food now,cheese . if i eat cheese when i am ill it always makes me worse ,then you take other food,0
